line: 7 0 9 4 3 5 6 4 1 4 2 2 1 0 3 5 8 4 3 2 2 7 6 3 3 4 8 6 3 4 0 5 5 9 1 0 6 7 4 8 3 8 2 6 8 5 2 9 9 7 3 4 7 9 9 0 5 7 8 0 2 8 7 9 9 8 9 6 5 5 6 0 4 8 7 4 5 9 5 7 8 8 1 5 7 2 5 4 2 4 5 6 4 2 5 6 1 6 4 8 3 0 9 9 8 8 4 5 9 9 2 7 0 5 3 9 8 8 4 0 4 9 6 9 1 3 7 4 1 1 3 4 1 4 4 1 2 0 6 1 1 9 0 1 6 3 1 4 4 5 6 8 6 4 9 9 9 6 4 0 7 9 7 0 3 3 1 7 5 0 0 6 9 0 0 7 4 3 2 0 0 0 8 6 5 0 5 4 6 1 7 6 0 6 6 5 9 0 2 4 
1: [ 7|  |  |  |  ]
139: [ 1| 4| 6| 3| 0] F
140: [ 1| 4| 6| 3| 0]
141: [ 1| 4| 6| 3| 0]
142: [ 1| 9| 6| 3| 0] F
143: [ 1| 9| 6| 3| 0]
144: [ 1| 9| 6| 3| 0]
145: [ 1| 9| 6| 3| 0]
146: [ 1| 9| 6| 3| 0]
147: [ 1| 9| 6| 3| 0]
148: [ 4| 9| 6| 3| 0] F
149: [ 4| 9| 6| 3| 0]
150: [ 4| 9| 6| 5| 0] F
151: [ 4| 9| 6| 5| 0]
152: [ 4| 9| 6| 8| 0] F
153: [ 4| 9| 6| 8| 0]
154: [ 4| 9| 6| 8| 0]
155: [ 4| 9| 6| 8| 0]
156: [ 4| 9| 6| 8| 0]
157: [ 4| 9| 6| 8| 0]
158: [ 4| 9| 6| 8| 0]
159: [ 4| 9| 6| 8| 0]
160: [ 4| 9| 6| 8| 0]
161: [ 4| 9| 6| 7| 0] F
162: [ 4| 9| 6| 7| 0]
163: [ 4| 9| 6| 7| 0]
164: [ 4| 9| 6| 7| 0]
165: [ 3| 9| 6| 7| 0] F
166: [ 3| 9| 6| 7| 0]
167: [ 1| 9| 6| 7| 0] F
168: [ 1| 9| 6| 7| 0]
169: [ 5| 9| 6| 7| 0] F
170: [ 5| 9| 6| 7| 0]
171: [ 5| 9| 6| 7| 0]
172: [ 5| 9| 6| 7| 0]
173: [ 5| 9| 6| 7| 0]
174: [ 5| 9| 6| 7| 0]
175: [ 5| 9| 6| 7| 0]
176: [ 5| 9| 6| 7| 0]
177: [ 5| 4| 6| 7| 0] F
178: [ 5| 4| 6| 3| 0] F
179: [ 5| 4| 6| 2| 0] F
180: [ 5| 4| 6| 2| 0]
181: [ 5| 4| 6| 2| 0]
182: [ 5| 4| 6| 2| 0]
183: [ 5| 4| 6| 8| 0] F
184: [ 5| 4| 6| 8| 0]
185: [ 5| 4| 6| 8| 0]
186: [ 5| 4| 6| 8| 0]
187: [ 5| 4| 6| 8| 0]
188: [ 5| 4| 6| 8| 0]
189: [ 5| 4| 6| 8| 0]
190: [ 5| 4| 6| 1| 0] F
191: [ 5| 4| 6| 7| 0] F
192: [ 5| 4| 6| 7| 0]
193: [ 5| 4| 6| 7| 0]
194: [ 5| 4| 6| 7| 0]
195: [ 5| 4| 6| 7| 0]
196: [ 5| 4| 6| 7| 0]
197: [ 9| 4| 6| 7| 0] F
198: [ 9| 4| 6| 7| 0]
199: [ 2| 4| 6| 7| 0] F
200: [ 2| 4| 6| 7| 0]

Miss rate = 53/196 = 27.0408%
